,date,id,link,categories,authorship,tags,unique_entities,author.name,time_step,sentiment_score
371,2022-03-09 21:35:00,1612038,https://www.rappler.com/business/yacht-linked-russian-oligarch-roman-abramovich-leaves-barcelona-march-8-2022/,"[621, 625]",[5083],"[2946, 1203, 17355]","['Andrey Molchanov', 'Sergei Chemezov', 'Mikhail Prokhorov', 'Vladimir Putin', 'Roman Abramovich']",,2,-0.0222632575757575
372,2022-03-09 22:10:00,1612043,https://www.rappler.com/business/gloria-tan-climaco-dies/,"[621, 625]",[4952],[2599],"['Tan Climaco', 'Gloria Macapagal Arroyo', 'Gloria Tan Climaco']",Ralf Rivas,2,0.0663070263070263
373,2022-03-09 22:50:17,1612127,https://www.rappler.com/business/russian-linked-private-jet-impounded-britain-deepens-aviation-sanctions/,"[621, 622, 624]",[5083],"[2487, 1203, 17355]","['Banning Russian', 'Grant Shapps', 'Eugene Shvidler', 'Liz Truss']",,2,-0.015340909090909
374,2022-03-09 23:30:00,1612191,https://www.rappler.com/business/sri-lanka-struggles-pay-fuel-imports-after-surge-crude-prices/,"[621, 622, 624]",[5083],"[2513, 2160, 2439]","['Gotabaya Rajapaksa', 'Sumith Wijesinghe']",,2,0.0193735827664399
375,2022-03-10 10:45:00,1612353,https://www.rappler.com/business/updates-global-stock-markets-oil-prices-march-9-2022/,"[621, 624, 626]",[5083],"[2160, 2181]","['Dmytro Kuleba', 'Sergei Lavrov', 'Joe Biden', 'Melissa Brown']",,2,0.0442731805231805
376,2022-03-10 11:00:00,1614624,https://www.rappler.com/business/russia-ukraine-conflict-adds-europe-supply-chain-snags/,"[621, 624]",[5083],"[2299, 3066, 3059, 17355]","['Dirk Engelhardt', 'Frank Appel']",,2,0.062806303778526
377,2022-03-10 14:55:05,1612591,https://www.rappler.com/business/makers-basic-necessities-face-trade-off-supplying-russia-with-cookies-soap/,"[621, 625]",[5083],"[2823, 1453, 1203, 17355]","['Joe Sinha', 'Jack Martin', 'Hannah Shoesmith', 'Louis Vuitton', 'Katie Denis', 'Jeffrey Sonnenfeld']",,2,0.07498079004329
378,2022-03-10 15:10:12,1612622,https://www.rappler.com/business/international-monetary-fund-approves-emergency-funding-ukraine-march-9-2022/,"[621, 622]",[5083],"[1870, 2394, 2555, 17355, 1239]","['Aleksei Mozhin', 'Kristalina Georgieva', 'Vladyslav Rashkovan']",,2,0.1411780621339444
379,2022-03-10 15:25:25,1612641,https://www.rappler.com/business/united-states-jennifer-granholm-urges-companies-boost-oil-gas-output-ceraweek-march-2022/,"[621, 622, 624]",[5083],"[2716, 2160, 2665]","['Suhail al Mazrouei', 'Joe Blommaert', 'Joe Biden', 'Fatih Birol', 'Yousuf Al Otaiba', 'Jeff Gustavson', 'Jennifer Granholm']",,2,0.0805860220508657
380,2022-03-10 22:20:00,1613181,https://www.rappler.com/business/roman-abramovich-igor-sechin-britain-sanctions-russia-ukraine-invasion/,"[621, 625, 622, 764, 723, 761]",[5083],"[2946, 1203, 17355, 1241]","['Boris Johnson', 'David Lammy', 'Nadine Dorries', 'Oleg Deripaska', 'Dmitri Lebedev', 'Roman Abramovich', 'Nikolai Tokarev', 'Anita Clifford', 'Vladimir Putin', 'Alexei Miller', 'Igor Sechin']",,2,0.0412049282018794
381,2022-03-10 22:35:00,1613223,https://www.rappler.com/business/uniqlo-operator-fast-retailing-japan-tobacco-suspend-russia-operations-ukraine-invasion/,"[621, 625]",[5083],"[2666, 2650, 1203, 17355, 2693]","['Tadashi Yanai', 'Oshadhi Kumarasiri']",,2,0.1009567901234567
382,2022-03-10 23:45:54,1613263,https://www.rappler.com/business/marks-spencer-ceo-steve-rowe-step-down-may-2022/,"[621, 625]",[5083],[2650],"['Stuart Machin', 'Steve Rowe', 'Eoin Tonge', 'Archie Norman', 'Katie Bickerstaffe']",,2,-0.0081481481481481
383,2022-03-11 08:20:54,1613283,https://www.rappler.com/business/lessors-face-legal-quagmire-russian-plane-repossessions-stall/,"[621, 625, 624]",[5083],[2487],"['Jerrold Lundquist', 'Vladimir Putin', 'Bertrand Grabowski']",,2,0.071798418972332
384,2022-03-11 08:55:27,1613351,https://www.rappler.com/business/united-arab-emirates-sows-confusion-oil-market-lower-russian-supply/,"[621, 622, 624]",[5083],"[2160, 17355, 1240]","['Yousuf Al Otaiba', 'Suhail al Mazrouei']",,2,0.0373148148148148
385,2022-03-11 09:10:07,1613362,https://www.rappler.com/business/inflation-rate-united-states-february-2022/,"[621, 622]",[5083],"[1870, 2665, 1872]","['Ryan Sweet', 'Daniel Vernazza', 'Joe Biden', 'Vladimir Putin', 'Chris Zaccarelli']",,2,0.0730111453172677
386,2022-03-11 09:30:29,1613375,https://www.rappler.com/business/european-central-bank-monetary-policy-inflation-forecasts-march-10-2022/,"[621, 622]",[5083],"[2540, 2299, 1870, 17355]","['Joerg Kraemer', 'Christine Lagarde', 'Frederik Ducrozet', 'Carsten Brzeski']",,2,0.1210699588477366
387,2022-03-11 09:50:00,1613400,https://www.rappler.com/business/updates-global-stock-markets-oil-prices-march-10-2022/,"[621, 626]",[5083],"[2160, 2181]","['Veneta Dimitrova', 'Melissa Brown', 'Jerome Powell']",,2,0.044448309626881
388,2022-03-11 10:40:00,1613426,https://www.rappler.com/business/shipping-industry-urges-safe-passage-trapped-ships-crews-ukraine-march-10-2022/,"[621, 624]",[5083],"[2839, 17355, 1239]","['Guy Platten', 'Kitack Lim']",,2,0.0291184807256235
389,2022-03-11 11:35:00,1614631,https://www.rappler.com/business/united-states-shale-producers-opec-no-rush-resume-oil-price-war/,"[621, 622, 624]",[5083],"[2160, 2665]","['Scott Sheffield', 'Artem Abramov', 'Amin Nasser', 'Vicki Hollub', 'Mohammad Barkindo']",,2,0.125827614120297
390,2022-03-11 17:30:00,1613598,https://www.rappler.com/business/fuel-prices-rise-record-highs-governments-look-for-solutions-march-2022/,"[621, 622, 16490, 624]",[5083],"[1870, 2160]","['John Kilduff', 'Simon Williams', 'Livia Gallarati', 'Joe Biden', 'Devin Gladden', 'Emmanuel Macron', 'Shane Oliver']",,2,0.0612191240132416
391,2022-03-11 18:00:00,1614131,https://www.rappler.com/business/assets-russian-oligarchs-abramovich-deripaska-sechin-sanctioned-britain/,"[621, 625]",[5083],"[2946, 1203, 17355, 1241]","['Dmitri Lebedev', 'Oleg Deripaska', 'Roman Abramovich', 'Nikolai Tokarev', 'Vladimir Putin', 'Andrey Kostin', 'Alexei Miller', 'Igor Sechin']",,2,0.0242792792792792
392,2022-03-11 18:20:29,1614180,https://www.rappler.com/business/russia-shipping-trade-slides-after-ukraine-invasion-march-2-8-2022/,"[621, 622, 624]",[5083],"[3066, 2839, 1203, 17355]","['Marcus Baker', 'Reed Smith', 'Rolf Habben Jansen', 'Peter Sand', 'Antonia Panayides']",,2,0.0146153846153846
393,2022-03-11 20:15:41,1614340,https://www.rappler.com/business/uae-flexes-gulf-oil-muscles-ties-united-states/,"[621, 622, 624]",[5083],"[2160, 17355, 1240, 2665]","['Abu Dhabi', 'Mohammed bin Salman', 'Jamal Khashoggi', 'Hosni Mubarak', 'Joe Biden', 'Mohammed bin Zayed', 'Abdulaziz Sager', 'Emily Horne', 'Neil Quilliam', 'Barack Obama']",,2,-0.005562865497076
394,2022-03-11 20:30:05,1614377,https://www.rappler.com/business/nigeria-airlines-may-not-survive-jet-fuel-price-rise/,"[621, 625, 624]",[5083],"[2487, 2796, 2160]","['Mele Kyari', 'Allen Onyeama']",,2,-0.0515796703296703
